label,peak_temp,avg_temp,voltage_drop,min_voltage,capacity,energy_density
NMC 140s4p natural cooling,27.918210932243937,26.38123080283765,197.2899317920071,348.9554824398133,13.397031089017622,223.21428571428572
NMC 140s4p forced_air cooling,27.538119015406664,26.214912900721203,197.22926628047543,349.016147951345,13.396563422028848,223.21428571428572
NMC 140s4p liquid cooling,25.583144706732753,25.30464511734594,196.91932617143237,349.32608806038803,13.394459913832934,223.21428571428572
LFP 160s6p natural cooling,35.46885545002061,30.91308580734526,233.78438444165153,400.0018343160229,11.312502759736281,130.20833333333334
LFP 160s6p forced_air cooling,26.925731919502823,26.480335329328216,233.78446276579365,400.00175599188077,11.290225028983786,130.20833333333334
LFP 160s6p liquid cooling,25.10428338541101,25.08347073053248,233.7845454676576,400.0016732900168,11.301692893682752,130.20833333333334
NMC 120s8p liquid cooling,25.059573187262572,25.047096650950355,179.4809576732893,300.0012840733708,14.666810428733353,130.20833333333334
