label,peak_temp,avg_temp,voltage_drop,min_voltage,capacity,energy_density
NMC 140s4p natural cooling,82.1293981697429,63.95213678979989,160.00104882213708,384.60929985874617,12.826571047150994,223.21428571428572
NMC 140s4p forced_air cooling,45.316956036886495,41.28357067183875,179.36839308828507,365.2419555925982,13.207404979729565,223.21428571428572
NMC 140s4p liquid cooling,26.421684389462996,26.136766315669878,42.3823337545287,502.22801492635455,11.689556052936656,223.21428571428572
MOLI 120s8p natural1 cooling,57.335580177615896,46.80093956148506,162.80600978885133,316.29977934800576,14.27694155926095,130.20833333333334
MOLI 120s8p natural2 cooling,57.335580177615896,46.80093956148506,162.80600978885133,316.29977934800576,14.27694155926095,130.20833333333334
MOLI 120s8p natural3 cooling,57.335580177615896,46.80093956148506,162.80600978885133,316.29977934800576,14.27694155926095,130.20833333333334
